"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-29427,-5.1493,-0.4004,0.11461,1,0,0,0,-0.5
-29318,-12.267,-1.8283,1.2025,1,0.01,0,0,-0.49
-29190,-21.714,-4.5505,3.5964,1,0.02,0,0,-0.48
-29113,-29.535,-8.2723,7.1666,1,0.03,0,0,-0.47
-29091,-35.337,-12.585,11.386,1,0.04,0,0,-0.46
-29119,-39.273,-17.16,15.894,1,0.05,0,0,-0.45
-29193,-41.554,-21.71,20.395,1,0.06,0,0,-0.44
-29301,-42.423,-26.008,24.656,1,0.07,0,0,-0.43
-29435,-42.132,-29.888,28.507,1,0.08,0,0,-0.42
-29580,-40.928,-33.238,31.831,1,0.09,0,0,-0.41
-29728,-39.043,-35.997,34.56,1,0.1,0,0,-0.4
-29868,-36.689,-38.138,36.667,1,0.11,0,0,-0.39
-29994,-34.051,-39.665,38.157,1,0.12,0,0,-0.38
-30102,-31.288,-40.599,39.06,1,0.13,0,0,-0.37
-30189,-28.534,-40.979,39.424,1,0.14,0,0,-0.36
-30255,-25.898,-40.848,39.312,1,0.15,0,0,-0.35
-30300,-23.463,-40.257,38.792,1,0.16,0,0,-0.34
-30327,-21.295,-39.26,37.939,1,0.17,0,0,-0.33
-30336,-19.437,-37.909,36.823,1,0.18,0,0,-0.32
-30333,-17.919,-36.258,35.515,1,0.19,0,0,-0.31
-30318,-16.756,-34.359,34.079,1,0.2,0,0,-0.3
-30294,-15.953,-32.263,32.571,1,0.21,0,0,-0.29
-30264,-15.503,-30.019,31.041,1,0.22,0,0,-0.28
-30230,-15.394,-27.675,29.53,1,0.23,0,0,-0.27
-30192,-15.607,-25.273,28.071,1,0.24,0,0,-0.26
-30153,-16.116,-22.858,26.686,1,0.25,0,0,-0.25
-30112,-16.895,-20.468,25.39,1,0.26,0,0,-0.24
-30072,-17.912,-18.139,24.193,1,0.27,0,0,-0.23
-30031,-19.134,-15.901,23.094,1,0.28,0,0,-0.22
-29991,-20.527,-13.781,22.088,1,0.29,0,0,-0.21
-29952,-22.056,-11.8,21.166,1,0.3,0,0,-0.2
-29913,-23.686,-9.9739,20.314,1,0.31,0,0,-0.19
-29876,-25.385,-8.3127,19.515,1,0.32,0,0,-0.18
-29839,-27.119,-6.8211,18.75,1,0.33,0,0,-0.17
-29802,-28.86,-5.4984,18.002,1,0.34,0,0,-0.16
-29767,-30.581,-4.3394,17.253,1,0.35,0,0,-0.15
-29732,-32.258,-3.3354,16.484,1,0.36,0,0,-0.14
-29697,-33.871,-2.4743,15.682,1,0.37,0,0,-0.13
-29664,-35.401,-1.7422,14.832,1,0.38,0,0,-0.12
-29631,-36.837,-1.1239,13.925,1,0.39,0,0,-0.11
-29600,-38.169,-0.60473,12.955,1,0.4,0,0,-0.1
-29570,-39.388,-0.17015,11.917,1,0.41,0,0,-0.09
-29541,-40.488,0.19284,10.808,1,0.42,0,0,-0.08
-29515,-41.465,0.4954,9.632,1,0.43,0,0,-0.07
-29491,-42.317,0.74647,8.3907,1,0.44,0,0,-0.06
-29469,-43.041,0.95279,7.0903,1,0.45,0,0,-0.05
-29451,-43.638,1.1189,5.7383,1,0.46,0,0,-0.04
-29436,-44.104,1.2476,4.3434,1,0.47,0,0,-0.03
-29425,-44.44,1.3399,2.9154,1,0.48,0,0,-0.02
-29418,-44.644,1.396,1.4657,1,0.49,0,0,-0.01
-29415,-44.712,1.415,0.0035758,1,0.5,0,0,0
-29418,-44.644,1.3961,-1.4585,1,0.51,0,0,0.01
-29425,-44.441,1.34,-2.9083,1,0.52,0,0,0.02
-29436,-44.106,1.2477,-4.3364,1,0.53,0,0,0.03
-29451,-43.639,1.1191,-5.7314,1,0.54,0,0,0.04
-29469,-43.043,0.95297,-7.0836,1,0.55,0,0,0.05
-29491,-42.319,0.74663,-8.3841,1,0.56,0,0,0.06
-29515,-41.468,0.49551,-9.6256,1,0.57,0,0,0.07
-29541,-40.491,0.19289,-10.802,1,0.58,0,0,0.08
-29570,-39.391,-0.1702,-11.911,1,0.59,0,0,0.09
-29600,-38.173,-0.60491,-12.949,1,0.6,0,0,0.1
-29631,-36.842,-1.1243,-13.92,1,0.61,0,0,0.11
-29664,-35.406,-1.7427,-14.826,1,0.62,0,0,0.12
-29697,-33.875,-2.4751,-15.676,1,0.63,0,0,0.13
-29732,-32.263,-3.3364,-16.479,1,0.64,0,0,0.14
-29766,-30.586,-4.3407,-17.248,1,0.65,0,0,0.15
-29802,-28.865,-5.5,-17.998,1,0.66,0,0,0.16
-29838,-27.124,-6.8231,-18.746,1,0.67,0,0,0.17
-29875,-25.389,-8.3151,-19.51,1,0.68,0,0,0.18
-29913,-23.691,-9.9766,-20.31,1,0.69,0,0,0.19
-29952,-22.06,-11.803,-21.162,1,0.7,0,0,0.2
-29991,-20.531,-13.784,-22.085,1,0.71,0,0,0.21
-30031,-19.138,-15.904,-23.09,1,0.72,0,0,0.22
-30071,-17.916,-18.143,-24.19,1,0.73,0,0,0.23
-30112,-16.899,-20.473,-25.387,1,0.74,0,0,0.24
-30152,-16.121,-22.863,-26.683,1,0.75,0,0,0.25
-30192,-15.611,-25.279,-28.068,1,0.76,0,0,0.26
-30229,-15.399,-27.68,-29.528,1,0.77,0,0,0.27
-30264,-15.508,-30.025,-31.039,1,0.78,0,0,0.28
-30294,-15.958,-32.27,-32.57,1,0.79,0,0,0.29
