"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8365.6,-18.93,0.0094955,0.00046727,1,0,0,-0.5,0
-8380.7,-45.763,-0.044879,0.0010766,1,0.01,0,-0.49,0
-8420.9,-82.306,-0.30359,0.0018469,1,0.02,0,-0.48,0
-8498.7,-114.41,-0.9627,0.0023999,1,0.03,0,-0.47,0
-8622.8,-140.55,-2.1275,0.0026868,1,0.04,0,-0.46,0
-8801.1,-161.16,-3.824,0.00272,1,0.05,0,-0.45,0
-9038.5,-176.91,-6.0066,0.0025374,1,0.06,0,-0.44,0
-9336.9,-188.57,-8.5793,0.0021963,1,0.07,0,-0.43,0
-9695,-196.91,-11.421,0.001762,1,0.08,0,-0.42,0
-10110,-202.6,-14.409,0.0012954,1,0.09,0,-0.41,0
-10576,-206.21,-17.432,0.00084449,1,0.1,0,-0.4,0
-11088,-208.17,-20.395,0.00044092,1,0.11,0,-0.39,0
-11639,-208.81,-23.228,0.00010064,1,0.12,0,-0.38,0
-12224,-208.36,-25.875,-0.00017262,1,0.13,0,-0.37,0
-12834,-207.01,-28.298,-0.0003831,1,0.14,0,-0.36,0
-13465,-204.89,-30.469,-0.00053938,1,0.15,0,-0.35,0
-14110,-202.13,-32.37,-0.00065181,1,0.16,0,-0.34,0
-14763,-198.83,-33.99,-0.00073063,1,0.17,0,-0.33,0
-15419,-195.06,-35.325,-0.00078481,1,0.18,0,-0.32,0
-16074,-190.91,-36.373,-0.00082168,1,0.19,0,-0.31,0
-16723,-186.46,-37.138,-0.00084677,1,0.2,0,-0.3,0
-17364,-181.75,-37.626,-0.0008636,1,0.21,0,-0.29,0
-17995,-176.86,-37.845,-0.00087395,1,0.22,0,-0.28,0
-18612,-171.83,-37.806,-0.00087855,1,0.23,0,-0.27,0
-19214,-166.7,-37.522,-0.00087743,1,0.24,0,-0.26,0
-19800,-161.52,-37.007,-0.00086989,1,0.25,0,-0.25,0
-20370,-156.31,-36.277,-0.00085455,1,0.26,0,-0.24,0
-20923,-151.1,-35.35,-0.00082958,1,0.27,0,-0.23,0
-21459,-145.91,-34.243,-0.00079306,1,0.28,0,-0.22,0
-21979,-140.75,-32.976,-0.00074323,1,0.29,0,-0.21,0
-22482,-135.64,-31.566,-0.0006785,1,0.3,0,-0.2,0
-22969,-130.59,-30.034,-0.00059759,1,0.31,0,-0.19,0
-23441,-125.6,-28.398,-0.0004993,1,0.32,0,-0.18,0
-23897,-120.67,-26.677,-0.00038259,1,0.33,0,-0.17,0
-24338,-115.81,-24.889,-0.00024692,1,0.34,0,-0.16,0
-24765,-111.02,-23.051,-9.2466e-05,1,0.35,0,-0.15,0
-25177,-106.29,-21.181,7.9923e-05,1,0.36,0,-0.14,0
-25575,-101.62,-19.294,0.00026957,1,0.37,0,-0.13,0
-25958,-97.014,-17.405,0.00047566,1,0.38,0,-0.12,0
-26328,-92.458,-15.528,0.00069698,1,0.39,0,-0.11,0
-26683,-87.953,-13.675,0.00093189,1,0.4,0,-0.1,0
-27024,-83.492,-11.859,0.0011786,1,0.41,0,-0.09,0
-27350,-79.071,-10.089,0.001435,1,0.42,0,-0.08,0
