"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-35736,-44.851,1.4113,-0.73456,1,0,0,0,0
-35738,-44.816,1.402,-1.0999,1,0.005,0,0,0.005
-35739,-44.781,1.3927,-1.4653,1,0.01,0,0,0.01
-35743,-44.677,1.3651,-2.1918,1,0.015,0,0,0.015
-35747,-44.573,1.3374,-2.9185,1,0.02,0,0,0.02
-35752,-44.402,1.2918,-3.634,1,0.025,0,0,0.025
-35758,-44.23,1.2461,-4.3496,1,0.03,0,0,0.03
-35765,-43.993,1.1824,-5.0486,1,0.035,0,0,0.035
-35773,-43.756,1.1186,-5.7475,1,0.04,0,0,0.04
-35782,-43.454,1.0362,-6.425,1,0.045,0,0,0.045
-35791,-43.151,0.95373,-7.1025,1,0.05,0,0,0.05
-35802,-42.784,0.85131,-7.7541,1,0.055,0,0,0.055
-35813,-42.417,0.74884,-8.4056,1,0.06,0,0,0.06
-35825,-41.987,0.62411,-9.0276,1,0.065,0,0,0.065
-35837,-41.556,0.49932,-9.6495,1,0.07,0,0,0.07
-35850,-41.062,0.34892,-10.239,1,0.075,0,0,0.075
-35864,-40.568,0.19844,-10.828,1,0.08,0,0,0.08
-35878,-40.013,0.01789,-11.384,1,0.085,0,0,0.085
-35892,-39.458,-0.16279,-11.939,1,0.09,0,0,0.09
-35908,-38.844,-0.37906,-12.459,1,0.095,0,0,0.095
-35923,-38.229,-0.59553,-12.979,1,0.1,0,0,0.1
-35939,-37.559,-0.85406,-13.465,1,0.105,0,0,0.105
-35954,-36.888,-1.1129,-13.951,1,0.11,0,0,0.11
-35971,-36.165,-1.4209,-14.405,1,0.115,0,0,0.115
-35987,-35.442,-1.7293,-14.859,1,0.12,0,0,0.12
-36004,-34.672,-2.0942,-15.284,1,0.125,0,0,0.125
-36021,-33.902,-2.4597,-15.709,1,0.13,0,0,0.13
-36038,-33.092,-2.8891,-16.111,1,0.135,0,0,0.135
-36056,-32.281,-3.3192,-16.513,1,0.14,0,0,0.14
-36073,-31.438,-3.82,-16.898,1,0.145,0,0,0.145
-36091,-30.595,-4.3219,-17.282,1,0.15,0,0,0.15
-36109,-29.731,-4.9003,-17.657,1,0.155,0,0,0.155
-36127,-28.866,-5.4799,-18.032,1,0.16,0,0,0.16
-36145,-27.992,-6.1402,-18.405,1,0.165,0,0,0.165
-36163,-27.117,-6.8021,-18.779,1,0.17,0,0,0.17
-36182,-26.246,-7.5469,-19.161,1,0.175,0,0,0.175
-36200,-25.375,-8.2937,-19.543,1,0.18,0,0,0.18
-36219,-24.522,-9.1233,-19.942,1,0.185,0,0,0.185
-36238,-23.67,-9.9553,-20.342,1,0.19,0,0,0.19
-36258,-22.85,-10.867,-20.767,1,0.195,0,0,0.195
-36277,-22.032,-11.782,-21.194,1,0.2,0,0,0.2
-36297,-21.263,-12.772,-21.653,1,0.205,0,0,0.205
-36316,-20.496,-13.765,-22.115,1,0.21,0,0,0.21
-36336,-19.794,-14.824,-22.616,1,0.215,0,0,0.215
-36356,-19.096,-15.887,-23.119,1,0.22,0,0,0.22
-36377,-18.479,-17.006,-23.667,1,0.225,0,0,0.225
-36397,-17.867,-18.128,-24.217,1,0.23,0,0,0.23
-36417,-17.352,-19.293,-24.814,1,0.235,0,0,0.235
-36438,-16.844,-20.461,-25.413,1,0.24,0,0,0.24
-36458,-16.447,-21.657,-26.059,1,0.245,0,0,0.245
-36478,-16.058,-22.855,-26.708,1,0.25,0,0,0.25
-36498,-15.795,-24.064,-27.398,1,0.255,0,0,0.255
-36518,-15.542,-25.274,-28.092,1,0.26,0,0,0.26
-36536,-15.426,-26.477,-28.82,1,0.265,0,0,0.265
-36555,-15.323,-27.679,-29.551,1,0.27,0,0,0.27
-36573,-15.367,-28.856,-30.305,1,0.275,0,0,0.275
-36590,-15.426,-30.029,-31.061,1,0.28,0,0,0.28
-36605,-15.638,-31.156,-31.825,1,0.285,0,0,0.285
-36620,-15.87,-32.277,-32.59,1,0.29,0,0,0.29
-36632,-16.258,-33.332,-33.345,1,0.295,0,0,0.295
-36643,-16.667,-34.378,-34.098,1,0.3,0,0,0.3
-36651,-17.234,-35.336,-34.818,1,0.305,0,0,0.305
-36658,-17.825,-36.281,-35.534,1,0.31,0,0,0.31
-36661,-18.568,-37.118,-36.193,1,0.315,0,0,0.315
-36662,-19.338,-37.936,-36.842,1,0.32,0,0,0.32
-36658,-20.251,-38.626,-37.408,1,0.325,0,0,0.325
-36652,-21.192,-39.29,-37.957,1,0.33,0,0,0.33
-36640,-22.261,-39.807,-38.397,1,0.335,0,0,0.335
-36626,-23.358,-40.291,-38.811,1,0.34,0,0,0.34
-36604,-24.561,-40.609,-39.089,1,0.345,0,0,0.345
-36581,-25.791,-40.885,-39.331,1,0.35,0,0,0.35
-36549,-27.098,-40.978,-39.411,1,0.355,0,0,0.355
-36515,-28.427,-41.019,-39.444,1,0.36,0,0,0.36
-36473,-29.798,-40.861,-39.291,1,0.365,0,0,0.365
-36428,-31.182,-40.642,-39.08,1,0.37,0,0,0.37
-36375,-32.565,-40.212,-38.665,1,0.375,0,0,0.375
-36320,-33.947,-39.71,-38.178,1,0.38,0,0,0.38
-36258,-35.279,-38.989,-37.475,1,0.385,0,0,0.385
-36193,-36.59,-38.185,-36.689,1,0.39,0,0,0.39
-36124,-37.793,-37.16,-35.681,1,0.395,0,0,0.395
-36053,-38.95,-36.045,-34.582,1,0.4,0,0,0.4
-35979,-39.935,-34.714,-33.266,1,0.405,0,0,0.405
-35905,-40.842,-33.287,-31.852,1,0.41,0,0,0.41
-35831,-41.508,-31.66,-30.238,1,0.415,0,0,0.415
-35759,-42.055,-29.936,-28.527,1,0.42,0,0,0.42
-35691,-42.288,-28.041,-26.645,1,0.425,0,0,0.425
-35625,-42.356,-26.056,-24.675,1,0.43,0,0,0.43
-35569,-42.036,-23.942,-22.578,1,0.435,0,0,0.435
-35516,-41.498,-21.755,-20.411,1,0.44,0,0,0.44
-35476,-40.5,-19.499,-18.179,1,0.445,0,0,0.445
-35443,-39.229,-17.201,-15.908,1,0.45,0,0,0.45
-35424,-37.431,-14.909,-13.648,1,0.455,0,0,0.455
-35414,-35.304,-12.621,-11.396,1,0.46,0,0,0.46
-35420,-32.598,-10.43,-9.2502,1,0.465,0,0,0.465
-35436,-29.513,-8.3022,-7.1733,1,0.47,0,0,0.47
-35469,-25.814,-6.3711,-5.3137,1,0.475,0,0,0.475
-35513,-21.701,-4.5721,-3.6,1,0.48,0,0,0.48
-35572,-17.136,-3.0955,-2.27,1,0.485,0,0,0.485
-35642,-12.262,-1.8403,-1.2037,1,0.49,0,0,0.49
-35700,-8.3645,-0.98409,-0.52454,1,0.495,0,0,0.495
