"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-14666,-19.609,0.010363,0.080867,1,0,0,-0.5,0
-14681,-45.35,-0.042251,0.18322,1,0.01,0,-0.49,0
-14721,-82.342,-0.30242,0.32635,1,0.02,0,-0.48,0
-14799,-114.55,-0.96695,0.44465,1,0.03,0,-0.47,0
-14924,-140.73,-2.1392,0.53486,1,0.04,0,-0.46,0
-15103,-161.35,-3.8442,0.59932,1,0.05,0,-0.45,0
-15341,-177.09,-6.0354,0.64058,1,0.06,0,-0.44,0
-15640,-188.74,-8.6158,0.66139,1,0.07,0,-0.43,0
-15999,-197.05,-11.464,0.66449,1,0.08,0,-0.42,0
-16415,-202.72,-14.456,0.65241,1,0.09,0,-0.41,0
-16882,-206.3,-17.48,0.62737,1,0.1,0,-0.4,0
-17394,-208.24,-20.443,0.59123,1,0.11,0,-0.39,0
-17947,-208.86,-23.274,0.54553,1,0.12,0,-0.38,0
-18532,-208.39,-25.917,0.4915,1,0.13,0,-0.37,0
-19143,-207.03,-28.335,0.43022,1,0.14,0,-0.36,0
-19774,-204.9,-30.501,0.36263,1,0.15,0,-0.35,0
-20419,-202.14,-32.396,0.28961,1,0.16,0,-0.34,0
-21072,-198.83,-34.011,0.21204,1,0.17,0,-0.33,0
-21728,-195.07,-35.34,0.13081,1,0.18,0,-0.32,0
-22383,-190.92,-36.384,0.046796,1,0.19,0,-0.31,0
-23033,-186.47,-37.144,-0.039121,1,0.2,0,-0.3,0
-23674,-181.78,-37.628,-0.12607,1,0.21,0,-0.29,0
-24305,-176.89,-37.844,-0.21312,1,0.22,0,-0.28,0
-24922,-171.87,-37.803,-0.29928,1,0.23,0,-0.27,0
-25524,-166.76,-37.517,-0.38357,1,0.24,0,-0.26,0
-26111,-161.58,-37.001,-0.46503,1,0.25,0,-0.25,0
-26682,-156.38,-36.272,-0.54281,1,0.26,0,-0.24,0
-27235,-151.18,-35.345,-0.6161,1,0.27,0,-0.23,0
-27772,-145.99,-34.239,-0.68422,1,0.28,0,-0.22,0
-28292,-140.85,-32.973,-0.74658,1,0.29,0,-0.21,0
-28796,-135.74,-31.565,-0.80271,1,0.3,0,-0.2,0
-29283,-130.7,-30.035,-0.85227,1,0.31,0,-0.19,0
-29755,-125.71,-28.401,-0.89505,1,0.32,0,-0.18,0
-30212,-120.79,-26.682,-0.93092,1,0.33,0,-0.17,0
-30653,-115.94,-24.896,-0.95989,1,0.34,0,-0.16,0
-31081,-111.15,-23.061,-0.98206,1,0.35,0,-0.15,0
-31493,-106.42,-21.192,-0.99761,1,0.36,0,-0.14,0
-31891,-101.76,-19.307,-1.0068,1,0.37,0,-0.13,0
-32276,-97.153,-17.42,-1.01,1,0.38,0,-0.12,0
-32646,-92.599,-15.544,-1.0076,1,0.39,0,-0.11,0
-33001,-88.095,-13.692,-0.99988,1,0.4,0,-0.1,0
-33342,-83.635,-11.876,-0.98741,1,0.41,0,-0.09,0
-33669,-79.215,-10.107,-0.97063,1,0.42,0,-0.08,0
-33981,-74.832,-8.3932,-0.94998,1,0.43,0,-0.07,0
-34278,-70.481,-6.7444,-0.92593,1,0.44,0,-0.06,0
-34559,-66.158,-5.1677,-0.89893,1,0.45,0,-0.05,0
-34826,-61.86,-3.6701,-0.86943,1,0.46,0,-0.04,0
-35077,-57.582,-2.2579,-0.83784,1,0.47,0,-0.03,0
-35312,-53.323,-0.93691,-0.80457,1,0.48,0,-0.02,0
-35532,-49.081,0.28757,-0.77004,1,0.49,0,-0.01,0
-35736,-44.851,1.4113,-0.73456,1,0.5,0,0,0
-35925,-40.631,2.4306,-0.6984,1,0.51,0,0.01,0
-36098,-36.419,3.3428,-0.66188,1,0.52,0,0.02,0
-36254,-32.211,4.1465,-0.62527,1,0.53,0,0.03,0
-36395,-28.003,4.8403,-0.58875,1,0.54,0,0.04,0
