"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-26811,-0.088944,918.07,0.075354,1,0,-0.5,0,0
-27256,-1.6775,802.39,0.15714,1,0.01118,-0.49,0.005,0
-27776,-5.2643,637.48,0.25265,1,0.022361,-0.48,0.01,0
-28256,-10.209,498.51,0.29817,1,0.033541,-0.47,0.015,0
-28721,-15.348,392.92,0.30062,1,0.044721,-0.46,0.02,0
-29140,-20.089,315.72,0.27403,1,0.055902,-0.45,0.025,0
-29532,-24.094,260.53,0.23072,1,0.067082,-0.44,0.03,0
-29886,-27.283,221.35,0.18062,1,0.078262,-0.43,0.035,0
-30218,-29.665,193.46,0.12996,1,0.089443,-0.42,0.04,0
-30520,-31.335,173.27,0.082731,1,0.10062,-0.41,0.045,0
-30810,-32.379,158.31,0.040795,1,0.1118,-0.4,0.05,0
-31076,-32.909,146.81,0.0051541,1,0.12298,-0.39,0.055,0
-31336,-32.994,137.66,-0.024173,1,0.13416,-0.38,0.06,0
-31577,-32.72,130.04,-0.04727,1,0.14534,-0.37,0.065,0
-31815,-32.129,123.48,-0.064674,1,0.15652,-0.36,0.07,0
-32037,-31.279,117.61,-0.076825,1,0.16771,-0.35,0.075,0
-32258,-30.193,112.27,-0.08436,1,0.17889,-0.34,0.08,0
-32466,-28.909,107.26,-0.087851,1,0.19007,-0.33,0.085,0
-32673,-27.44,102.54,-0.087873,1,0.20125,-0.32,0.09,0
-32868,-25.81,97.996,-0.085042,1,0.21243,-0.31,0.095,0
-33064,-24.028,93.651,-0.079804,1,0.22361,-0.3,0.1,0
-33249,-22.109,89.407,-0.072779,1,0.23479,-0.29,0.105,0
-33434,-20.062,85.318,-0.06426,1,0.24597,-0.28,0.11,0
-33609,-17.894,81.298,-0.054839,1,0.25715,-0.27,0.115,0
-33785,-15.618,77.409,-0.04466,1,0.26833,-0.26,0.12,0
-33952,-13.233,73.575,-0.034262,1,0.27951,-0.25,0.125,0
-34119,-10.755,69.859,-0.023663,1,0.29069,-0.24,0.13,0
-34277,-8.1772,66.192,-0.013325,1,0.30187,-0.23,0.135,0
-34436,-5.5194,62.636,-0.0031818,1,0.31305,-0.22,0.14,0
-34586,-2.7667,59.125,0.0064451,1,0.32423,-0.21,0.145,0
-34736,0.053032,55.721,0.015641,1,0.33541,-0.2,0.15,0
-34880,2.956,52.362,0.024004,1,0.34659,-0.19,0.155,0
-35022,5.9098,49.105,0.031629,1,0.35777,-0.18,0.16,0
-35157,8.9383,45.893,0.038262,1,0.36895,-0.17,0.165,0
-35289,12.012,42.773,0.044099,1,0.38013,-0.16,0.17,0
-35413,15.166,39.687,0.048944,1,0.39131,-0.15,0.175,0
-35534,18.367,36.678,0.05297,1,0.40249,-0.14,0.18,0
-35647,21.666,33.686,0.056112,1,0.41367,-0.13,0.185,0
-35755,25.023,30.749,0.058494,1,0.42485,-0.12,0.19,0
-35854,28.516,27.797,0.06014,1,0.43603,-0.11,0.195,0
-35948,32.094,24.864,0.06115,1,0.44721,-0.1,0.2,0
-36031,35.877,21.862,0.061646,1,0.45839,-0.09,0.205,0
-36107,39.799,18.821,0.061713,1,0.46957,-0.08,0.21,0
-36170,44.048,15.617,0.061574,1,0.48075,-0.07,0.215,0
-36223,48.536,12.279,0.06133,1,0.49193,-0.06,0.22,0
-36258,53.567,8.6184,0.061324,1,0.50312,-0.05,0.225,0
-36279,59.013,4.6586,0.061686,1,0.5143,-0.04,0.23,0
-36272,65.371,0.11098,0.062832,1,0.52548,-0.03,0.235,0
-36232,72.369,-4.9166,0.064895,1,0.53666,-0.02,0.24,0
-36147,80.561,-10.669,0.06777,1,0.54784,-0.01,0.245,0
-36019,89.51,-16.984,0.071483,1,0.55902,0,0.25,0
-35825,99.889,-24.145,0.075625,1,0.5702,0.01,0.255,0
-35567,111.07,-31.931,0.080412,1,0.58138,0.02,0.26,0
-35208,123.72,-40.551,0.084842,1,0.59256,0.03,0.265,0
-34755,137.02,-49.73,0.089496,1,0.60374,0.04,0.27,0
-34159,151.51,-59.526,0.092915,1,0.61492,0.05,0.275,0
-33436,166.3,-69.661,0.096143,1,0.6261,0.06,0.28,0
-32531,181.67,-79.998,0.097509,1,0.63728,0.07,0.285,0
-31473,196.8,-90.319,0.098486,1,0.64846,0.08,0.29,0
-30208,211.65,-100.29,0.097438,1,0.65964,0.09,0.295,0
-28781,225.62,-109.82,0.096102,1,0.67082,0.1,0.3,0
-27154,238.37,-118.43,0.093051,1,0.682,0.11,0.305,0
-25382,249.6,-126.16,0.090064,1,0.69318,0.12,0.31,0
-23454,258.71,-132.44,0.08599,1,0.70436,0.13,0.315,0
-21429,265.79,-137.51,0.082474,1,0.71554,0.14,0.32,0
-19326,270.02,-140.76,0.078648,1,0.72672,0.15,0.325,0
-17197,271.88,-142.56,0.075921,1,0.7379,0.16,0.33,0
-15086,270.46,-142.39,0.073704,1,0.74908,0.17,0.335,0
-13027,266.57,-140.71,0.073142,1,0.76026,0.18,0.34,0
-11081,259.32,-137.11,0.073932,1,0.77144,0.19,0.345,0
-9254.5,249.77,-132.11,0.076974,1,0.78262,0.2,0.35,0
-7608.9,237.14,-125.49,0.082271,1,0.7938,0.21,0.355,0
-6126.4,222.65,-117.74,0.090502,1,0.80498,0.22,0.36,0
-4854.6,205.74,-108.83,0.10196,1,0.81616,0.23,0.365,0
