"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-16603,-0.65769,830.39,-0.00021332,1,0,-0.5,0,-5.294e-23
-17121,-6.9581,621.21,-0.00024018,1,0.02,-0.48,0,-5.294e-23
-17726,-17.228,386.35,-4.2145e-05,1,0.04,-0.46,0,-5.294e-23
-18227,-27.21,249.95,0.00042245,1,0.06,-0.44,0,-5.294e-23
-18699,-34.598,179.93,0.00093394,1,0.08,-0.42,0,-5.294e-23
-19129,-39.856,143.52,0.0014025,1,0.1,-0.4,0,-5.294e-23
-19553,-43.535,123.04,0.0018093,1,0.12,-0.38,0,-5.294e-23
-19977,-46.19,109.91,0.002157,1,0.14,-0.36,0,-5.294e-23
-20407,-48.177,100.19,0.0024512,1,0.16,-0.34,0,-5.294e-23
-20840,-49.718,92.131,0.0026978,1,0.18,-0.32,0,-5.294e-23
-21271,-50.943,84.973,0.0029026,1,0.2,-0.3,0,-5.294e-23
-21696,-51.929,78.371,0.0030716,1,0.22,-0.28,0,-5.294e-23
-22110,-52.722,72.152,0.0032105,1,0.24,-0.26,0,-5.294e-23
-22507,-53.356,66.211,0.0033247,1,0.26,-0.24,0,-5.294e-23
-22884,-53.852,60.47,0.003419,1,0.28,-0.22,0,-5.294e-23
-23236,-54.226,54.862,0.0034978,1,0.3,-0.2,0,-5.294e-23
-23559,-54.489,49.322,0.0035641,1,0.32,-0.18,0,-5.294e-23
-23850,-54.649,43.785,0.0036187,1,0.34,-0.16,0,-5.294e-23
-24104,-54.711,38.184,0.0036616,1,0.36,-0.14,0,-5.294e-23
-24318,-54.677,32.446,0.0036938,1,0.38,-0.12,0,-5.294e-23
-24486,-54.548,26.492,0.0037153,1,0.4,-0.1,0,-5.294e-23
-24605,-54.32,20.234,0.003725,1,0.42,-0.08,0,-5.294e-23
-24669,-53.987,13.572,0.0037204,1,0.44,-0.06,0,-5.294e-23
-24672,-53.537,6.3914,0.0036951,1,0.46,-0.04,0,-5.294e-23
-24611,-52.974,-1.4145,0.003637,1,0.48,-0.02,0,-5.294e-23
-24482,-52.234,-9.9183,0.0035305,1,0.5,0,0,-5.294e-23
-24266,-51.257,-19.226,0.0033701,1,0.52,0.02,0,-5.294e-23
-23950,-50.037,-29.457,0.0031558,1,0.54,0.04,0,-5.294e-23
-23519,-48.533,-40.696,0.0028819,1,0.56,0.06,0,-5.294e-23
-22960,-46.717,-52.977,0.0025435,1,0.58,0.08,0,-5.294e-23
-22257,-44.566,-66.262,0.0021376,1,0.6,0.1,0,-5.294e-23
-21397,-42.077,-80.433,0.0016617,1,0.62,0.12,0,-5.294e-23
-20368,-39.269,-95.282,0.0011137,1,0.64,0.14,0,-5.294e-23
-19164,-36.187,-110.5,0.00049297,1,0.66,0.16,0,-5.294e-23
-17786,-32.917,-125.71,-0.00019127,1,0.68,0.18,0,-5.294e-23
-16245,-29.565,-140.48,-0.00091723,1,0.7,0.2,0,-5.294e-23
-14559,-26.244,-154.39,-0.0016645,1,0.72,0.22,0,-5.294e-23
-12757,-23.076,-166.98,-0.0023978,1,0.74,0.24,0,-5.294e-23
-10875,-20.18,-177.85,-0.003053,1,0.76,0.26,0,-5.294e-23
-8955.2,-17.651,-186.66,-0.0035458,1,0.78,0.28,0,-5.294e-23
-7046.1,-15.555,-193.1,-0.0037665,1,0.8,0.3,0,-5.294e-23
-5197.6,-13.925,-196.93,-0.0035804,1,0.82,0.32,0,-5.294e-23
-3460.7,-12.749,-197.89,-0.002841,1,0.84,0.34,0,-5.294e-23
-1884,-11.946,-195.73,-0.0014311,1,0.86,0.36,0,-5.294e-23
-511.79,-11.348,-190,0.00065382,1,0.88,0.38,0,-5.294e-23
618.48,-10.671,-179.93,0.0031894,1,0.9,0.4,0,-5.294e-23
1477.8,-9.5431,-164.07,0.0056317,1,0.92,0.42,0,-5.294e-23
2052.5,-7.629,-140.3,0.0071471,1,0.94,0.44,0,-5.294e-23
2352.1,-4.8717,-106.03,0.0069083,1,0.96,0.46,0,-5.294e-23
2415.6,-2.0495,-61.397,0.0046444,1,0.98,0.48,0,-5.294e-23
2378.4,-0.32083,-26.426,0.0022822,1,1,0.5,0,-5.294e-23
