"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-11907,-3.2752,-0.12029,0.027332,1,0,0,0,-0.5
-11700,-18.629,-2.109,1.4724,1,0.01,0,0,-0.49
-11640,-24.13,-3.6479,2.745,1,0.02,0,0,-0.48
-11533,-37.705,-9.7318,7.7806,1,0.03,0,0,-0.47
-11493,-47.933,-18.397,14.769,1,0.04,0,0,-0.46
-11500,-49.71,-19.887,16.485,1,0.05,0,0,-0.45
-11522,-51.413,-21.87,18.595,1,0.06,0,0,-0.44
-11676,-52.459,-28.297,24.259,1,0.07,0,0,-0.43
-11831,-53.266,-34.42,29.687,1,0.08,0,0,-0.42
-11992,-51.865,-37.732,32.925,1,0.09,0,0,-0.41
-12153,-50.371,-40.919,36.053,1,0.1,0,0,-0.4
-12304,-47.986,-42.912,38.12,1,0.11,0,0,-0.39
-12451,-45.575,-44.797,40.087,1,0.12,0,0,-0.38
-12569,-42.91,-45.592,41.056,1,0.13,0,0,-0.37
-12682,-40.261,-46.3,41.948,1,0.14,0,0,-0.36
-12757,-37.779,-46.09,42.007,1,0.15,0,0,-0.35
-12829,-35.334,-45.816,42.012,1,0.16,0,0,-0.34
-12864,-33.313,-44.812,41.394,1,0.17,0,0,-0.33
-12898,-31.339,-43.764,40.742,1,0.18,0,0,-0.32
-12902,-29.924,-42.172,39.68,1,0.19,0,0,-0.31
-12905,-28.556,-40.553,38.602,1,0.2,0,0,-0.3
-12887,-27.796,-38.569,37.302,1,0.21,0,0,-0.29
-12869,-27.077,-36.571,35.997,1,0.22,0,0,-0.28
-12838,-26.95,-34.375,34.62,1,0.23,0,0,-0.27
-12807,-26.857,-32.177,33.244,1,0.24,0,0,-0.26
-12769,-27.293,-29.939,31.899,1,0.25,0,0,-0.25
-12730,-27.755,-27.705,30.558,1,0.26,0,0,-0.24
-12690,-28.653,-25.566,29.305,1,0.27,0,0,-0.23
-12649,-29.568,-23.437,28.057,1,0.28,0,0,-0.22
-12608,-30.806,-21.51,26.91,1,0.29,0,0,-0.21
-12567,-32.052,-19.594,25.766,1,0.3,0,0,-0.2
-12527,-33.501,-17.951,24.705,1,0.31,0,0,-0.19
-12488,-34.952,-16.32,23.645,1,0.32,0,0,-0.18
-12450,-36.487,-14.993,22.627,1,0.33,0,0,-0.17
-12412,-38.021,-13.677,21.608,1,0.34,0,0,-0.16
-12376,-39.534,-12.659,20.581,1,0.35,0,0,-0.15
-12341,-41.043,-11.649,19.552,1,0.36,0,0,-0.14
-12307,-42.45,-10.904,18.467,1,0.37,0,0,-0.13
-12274,-43.853,-10.165,17.38,1,0.38,0,0,-0.12
-12244,-45.095,-9.6429,16.2,1,0.39,0,0,-0.11
-12213,-46.333,-9.1239,15.017,1,0.4,0,0,-0.1
-12186,-47.372,-8.7686,13.718,1,0.41,0,0,-0.09
-12158,-48.408,-8.4151,12.418,1,0.42,0,0,-0.08
-12135,-49.228,-8.1787,10.999,1,0.43,0,0,-0.07
-12111,-50.045,-7.9432,9.5783,1,0.44,0,0,-0.06
-12093,-50.638,-7.791,8.0504,1,0.45,0,0,-0.05
-12074,-51.229,-7.6392,6.522,1,0.46,0,0,-0.04
-12061,-51.593,-7.551,4.9162,1,0.47,0,0,-0.03
-12048,-51.955,-7.4631,3.3102,1,0.48,0,0,-0.02
-12042,-52.079,-7.4334,1.6554,1,0.49,0,0,-0.01
-12037,-52.202,-7.4036,0.000637,1,0.5,0,0,0
-12042,-52.079,-7.433,-1.6542,1,0.51,0,0,0.01
-12048,-51.955,-7.4623,-3.3089,1,0.52,0,0,0.02
-12061,-51.593,-7.5499,-4.9149,1,0.53,0,0,0.03
-12074,-51.23,-7.6377,-6.5207,1,0.54,0,0,0.04
-12093,-50.639,-7.7891,-8.0492,1,0.55,0,0,0.05
-12111,-50.046,-7.9411,-9.577,1,0.56,0,0,0.06
-12135,-49.229,-8.1764,-10.998,1,0.57,0,0,0.07
-12158,-48.41,-8.4126,-12.417,1,0.58,0,0,0.08
-12186,-47.374,-8.766,-13.717,1,0.59,0,0,0.09
-12213,-46.334,-9.1212,-15.016,1,0.6,0,0,0.1
-12243,-45.097,-9.6402,-16.199,1,0.61,0,0,0.11
-12274,-43.855,-10.163,-17.379,1,0.62,0,0,0.12
-12307,-42.452,-10.902,-18.466,1,0.63,0,0,0.13
-12341,-41.045,-11.646,-19.551,1,0.64,0,0,0.14
-12376,-39.536,-12.656,-20.58,1,0.65,0,0,0.15
-12412,-38.023,-13.674,-21.607,1,0.66,0,0,0.16
-12450,-36.489,-14.991,-22.626,1,0.67,0,0,0.17
-12488,-34.954,-16.318,-23.645,1,0.68,0,0,0.18
-12527,-33.503,-17.949,-24.705,1,0.69,0,0,0.19
-12567,-32.055,-19.593,-25.766,1,0.7,0,0,0.2
-12608,-30.808,-21.508,-26.909,1,0.71,0,0,0.21
-12649,-29.571,-23.436,-28.056,1,0.72,0,0,0.22
-12690,-28.656,-25.565,-29.305,1,0.73,0,0,0.23
-12730,-27.758,-27.704,-30.558,1,0.74,0,0,0.24
-12769,-27.296,-29.938,-31.899,1,0.75,0,0,0.25
-12807,-26.86,-32.177,-33.244,1,0.76,0,0,0.26
-12838,-26.953,-34.374,-34.62,1,0.77,0,0,0.27
-12869,-27.08,-36.57,-35.998,1,0.78,0,0,0.28
-12887,-27.799,-38.568,-37.303,1,0.79,0,0,0.29
-12905,-28.56,-40.552,-38.602,1,0.8,0,0,0.3
-12902,-29.928,-42.172,-39.681,1,0.81,0,0,0.31
-12898,-31.343,-43.763,-40.742,1,0.82,0,0,0.32
-12865,-33.318,-44.811,-41.394,1,0.83,0,0,0.33
-12829,-35.339,-45.815,-42.012,1,0.84,0,0,0.34
-12757,-37.784,-46.089,-42.008,1,0.85,0,0,0.35
-12682,-40.266,-46.299,-41.949,1,0.86,0,0,0.36
-12569,-42.916,-45.591,-41.057,1,0.87,0,0,0.37
-12452,-45.58,-44.796,-40.087,1,0.88,0,0,0.38
-12304,-47.991,-42.91,-38.12,1,0.89,0,0,0.39
-12153,-50.376,-40.917,-36.054,1,0.9,0,0,0.4
-11992,-51.869,-37.73,-32.926,1,0.91,0,0,0.41
-11831,-53.27,-34.418,-29.688,1,0.92,0,0,0.42
-11669,-52.256,-28.903,-24.28,1,0.93,0,0,0.43
-11508,-50.981,-23.151,-18.638,1,0.94,0,0,0.44
-11496,-49.575,-20.29,-16.499,1,0.95,0,0,0.45
-11501,-48.155,-17.752,-14.748,1,0.96,0,0,0.46
-11534,-37.733,-9.653,-7.7782,1,0.97,0,0,0.47
-11640,-24.132,-3.6465,-2.745,1,0.98,0,0,0.48
-11700,-18.63,-2.1078,-1.4724,1,0.99,0,0,0.49
-11907,-3.2753,-0.12009,-0.027333,1,1,0,0,0.5
