"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8065.4,-8.4699,0.0004341,-4.8537e-05,1,0,0,-0.5,0
8053.2,-49.032,-0.054539,-0.00027961,1,0.01,0,-0.49,0
8037.3,-64.251,-0.17888,-0.00035596,1,0.02,0,-0.48,0
7962.7,-103.96,-0.91827,-0.00050158,1,0.03,0,-0.47,0
7841.5,-138.41,-2.5956,-0.0055903,1,0.04,0,-0.46,0
7723.6,-144.45,-3.1609,-0.05571,1,0.05,0,-0.45,0
7588.4,-151.18,-3.9844,-0.095756,1,0.06,0,-0.44,0
7297.6,-164.22,-7.132,-0.045138,1,0.07,0,-0.43,0
7001.4,-176.43,-10.244,0.00059074,1,0.08,0,-0.42,0
6656.2,-181,-13.024,0.0010002,1,0.09,0,-0.41,0
6303.9,-185.3,-15.804,0.0014038,1,0.1,0,-0.4,0
5884.4,-186.93,-18.584,0.00175,1,0.11,0,-0.39,0
5459.6,-188.4,-21.344,0.0020853,1,0.12,0,-0.38,0
4981.4,-188.19,-23.892,0.0023114,1,0.13,0,-0.37,0
4499.5,-187.88,-26.409,0.0025268,1,0.14,0,-0.36,0
3979,-186.46,-28.596,0.0026281,1,0.15,0,-0.35,0
3456.3,-184.98,-30.748,0.0027212,1,0.16,0,-0.34,0
2908.6,-182.7,-32.506,0.0027204,1,0.17,0,-0.33,0
2359.7,-180.38,-34.231,0.0027143,1,0.18,0,-0.32,0
1797.9,-177.49,-35.536,0.0026426,1,0.19,0,-0.31,0
1235.8,-174.56,-36.808,0.0025678,1,0.2,0,-0.3,0
670.8,-171.21,-37.658,0.0024533,1,0.21,0,-0.29,0
106.13,-167.84,-38.478,0.0023372,1,0.22,0,-0.28,0
-453.52,-164.17,-38.886,0.0022004,1,0.23,0,-0.27,0
-1012.5,-160.49,-39.27,0.0020632,1,0.24,0,-0.26,0
-1560.6,-156.6,-39.263,0.0019191,1,0.25,0,-0.25,0
-2107.9,-152.71,-39.236,0.0017752,1,0.26,0,-0.24,0
-2640.5,-148.69,-38.851,0.0016355,1,0.27,0,-0.23,0
-3172.1,-144.66,-38.45,0.0014963,1,0.28,0,-0.22,0
-3686.6,-140.55,-37.729,0.0013689,1,0.29,0,-0.21,0
-4200.2,-136.45,-36.996,0.0012423,1,0.3,0,-0.2,0
-4695.2,-132.31,-35.989,0.0011323,1,0.31,0,-0.19,0
-5189.4,-128.16,-34.972,0.001023,1,0.32,0,-0.18,0
-5664.1,-124.01,-33.73,0.00093301,1,0.33,0,-0.17,0
-6138.1,-119.85,-32.48,0.00084372,1,0.34,0,-0.16,0
-6591.9,-115.69,-31.054,0.00077446,1,0.35,0,-0.15,0
-7045.1,-111.52,-29.624,0.00070578,1,0.36,0,-0.14,0
-7477.4,-107.36,-28.067,0.00065683,1,0.37,0,-0.13,0
-7909,-103.19,-26.507,0.00060833,1,0.38,0,-0.12,0
-8318.8,-99.021,-24.867,0.00057817,1,0.39,0,-0.11,0
-8728,-94.848,-23.227,0.00054834,1,0.4,0,-0.1,0
-9113.8,-90.658,-21.553,0.00053506,1,0.41,0,-0.09,0
-9499.2,-86.468,-19.878,0.000522,1,0.42,0,-0.08,0
-9859.5,-82.251,-18.212,0.00052303,1,0.43,0,-0.07,0
-10220,-78.034,-16.546,0.00052418,1,0.44,0,-0.06,0
-10552,-73.778,-14.928,0.00053568,1,0.45,0,-0.05,0
-10885,-69.522,-13.31,0.00054724,1,0.46,0,-0.04,0
-11188,-65.219,-11.774,0.00056703,1,0.47,0,-0.03,0
-11491,-60.915,-10.238,0.00058685,1,0.48,0,-0.02,0
-11764,-56.559,-8.8208,0.00061193,1,0.49,0,-0.01,0
-12037,-52.202,-7.4036,0.000637,1,0.5,0,0,0
-12277,-47.781,-6.138,0.00066222,1,0.51,0,0.01,0
-12517,-43.359,-4.8725,0.00068744,1,0.52,0,0.02,0
-12723,-38.872,-3.7881,0.00070955,1,0.53,0,0.03,0
-12928,-34.386,-2.7044,0.00073164,1,0.54,0,0.04,0
-13099,-29.841,-1.8338,0.00074728,1,0.55,0,0.05,0
-13269,-25.296,-0.9648,0.00076287,1,0.56,0,0.06,0
-13404,-20.676,-0.33827,0.00076741,1,0.57,0,0.07,0
-13538,-16.055,0.28544,0.00077182,1,0.58,0,0.08,0
-13637,-11.318,0.63433,0.00076008,1,0.59,0,0.09,0
-13734,-6.5804,0.97889,0.00074809,1,0.6,0,0.1,0
-13799,-1.6713,0.9849,0.0007158,1,0.61,0,0.11,0
-13863,3.2412,0.9841,0.00068309,1,0.62,0,0.12,0
-13897,8.375,0.60086,0.00062896,1,0.63,0,0.13,0
-13931,13.514,0.20818,0.0005743,1,0.64,0,0.14,0
-13933,18.972,-0.61237,0.00049757,1,0.65,0,0.15,0
-13934,24.44,-1.4455,0.00042018,1,0.66,0,0.16,0
-13899,30.434,-2.8042,0.00032,1,0.67,0,0.17,0
-13863,36.446,-4.181,0.00021903,1,0.68,0,0.18,0
-13788,43.267,-6.1958,9.7757e-05,1,0.69,0,0.19,0
-13712,50.119,-8.2362,-2.4326e-05,1,0.7,0,0.2,0
-13588,58.18,-11.037,-0.00016114,1,0.71,0,0.21,0
-13462,66.297,-13.872,-0.00029862,1,0.72,0,0.22,0
-13277,76.135,-17.556,-0.00044192,1,0.73,0,0.23,0
-13089,86.062,-21.282,-0.00058552,1,0.74,0,0.24,0
-12826,98.226,-25.853,-0.00072082,1,0.75,0,0.25,0
-12558,110.52,-30.472,-0.00085564,1,0.76,0,0.26,0
-12190,125.43,-35.77,-0.00096405,1,0.77,0,0.27,0
-11815,140.51,-41.111,-0.0010708,1,0.78,0,0.28,0
-11313,158.24,-46.762,-0.0011339,1,0.79,0,0.29,0
-10801,176.16,-52.435,-0.001194,1,0.8,0,0.3,0
-10137,196.29,-57.876,-0.0012003,1,0.81,0,0.31,0
-9460.5,216.58,-63.3,-0.0012025,1,0.82,0,0.32,0
-8620.9,238.01,-67.83,-0.0011511,1,0.83,0,0.33,0
-7767.9,259.54,-72.287,-0.0010953,1,0.84,0,0.34,0
-6770.4,280.45,-75.15,-0.00099659,1,0.85,0,0.35,0
-5760.2,301.3,-77.871,-0.00089409,1,0.86,0,0.36,0
-4666.3,318.97,-78.34,-0.00076633,1,0.87,0,0.37,0
-3564.5,336.34,-78.596,-0.00063621,1,0.88,0,0.38,0
-2488.6,347.06,-76.089,-0.0005009,1,0.89,0,0.39,0
-1415.3,357.12,-73.307,-0.00036507,1,0.9,0,0.4,0
-509.34,356.11,-67.531,-0.00024251,1,0.91,0,0.41,0
379.23,353.95,-61.444,-0.00012134,1,0.92,0,0.42,0
1075.9,326.97,-49.884,0.0018675,1,0.93,0,0.43,0
1752,297.32,-37.732,0.0040578,1,0.94,0,0.44,0
1809.4,280.64,-33.124,0.00034291,1,0.95,0,0.45,0
1798.2,265.41,-29.353,-0.004028,1,0.96,0,0.46,0
1478.3,175.59,-14.473,-0.00029917,1,0.97,0,0.47,0
1167.6,93.256,-4.7457,0.00013857,1,0.98,0,0.48,0
1039.2,66.642,-2.4305,0.00011419,1,0.99,0,0.49,0
681.95,9.7873,-0.039926,2.2661e-05,1,1,0,0.5,0
