"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3322.2,-0.027597,960.4,-7.2415e-05,1,0,-0.5,0,0
-3671.6,-2.0834,756.2,-0.00037429,1,0.01,-0.49,0,0
-3812,-3.939,678.58,-0.00050295,1,0.02,-0.48,0,0
-4221.5,-11.063,480.72,0.0054584,1,0.03,-0.47,0,0
-4699.6,-19.797,326.88,0.054839,1,0.04,-0.46,0,0
-4774.8,-21.689,302.65,-0.0042862,1,0.05,-0.45,0,0
-4874,-23.907,276.07,-0.05473,1,0.06,-0.44,0,0
-5189.1,-29.062,228.23,-0.027035,1,0.07,-0.43,0,0
-5495.5,-33.971,183.31,-0.002047,1,0.08,-0.42,0,0
-5719.9,-36.602,165.39,-0.00215,1,0.09,-0.41,0,0
-5944.2,-39.159,148.19,-0.0022468,1,0.1,-0.4,0,0
-6166.1,-41,138,-0.0022826,1,0.11,-0.39,0,0
-6388.5,-42.794,128.13,-0.0023143,1,0.12,-0.38,0,0
-6615,-44.111,121.48,-0.0023055,1,0.13,-0.37,0,0
-6842,-45.399,114.97,-0.0022941,1,0.14,-0.36,0,0
-7073.4,-46.383,109.96,-0.0022557,1,0.15,-0.35,0,0
-7305.1,-47.348,105.02,-0.0022157,1,0.16,-0.34,0,0
-7539.9,-48.109,100.81,-0.0021575,1,0.17,-0.33,0,0
-7774.7,-48.858,96.645,-0.0020983,1,0.18,-0.32,0,0
-8010.2,-49.463,92.89,-0.0020266,1,0.19,-0.31,0,0
-8245.5,-50.059,89.155,-0.0019542,1,0.2,-0.3,0,0
-8478.7,-50.545,85.683,-0.0018729,1,0.21,-0.29,0,0
-8711.6,-51.025,82.225,-0.001791,1,0.22,-0.28,0,0
-8939.7,-51.418,78.955,-0.0017026,1,0.23,-0.27,0,0
-9167.3,-51.806,75.694,-0.0016138,1,0.24,-0.26,0,0
-9387.5,-52.121,72.575,-0.0015199,1,0.25,-0.25,0,0
-9607.2,-52.433,69.461,-0.0014259,1,0.26,-0.24,0,0
-9817.1,-52.682,66.455,-0.001328,1,0.27,-0.23,0,0
-10026,-52.928,63.453,-0.00123,1,0.28,-0.22,0,0
-10224,-53.119,60.526,-0.0011294,1,0.29,-0.21,0,0
-10420,-53.308,57.602,-0.0010287,1,0.3,-0.2,0,0
-10603,-53.448,54.724,-0.00092645,1,0.31,-0.19,0,0
-10784,-53.585,51.847,-0.00082418,1,0.32,-0.18,0,0
-10950,-53.678,48.987,-0.00072145,1,0.33,-0.17,0,0
-11115,-53.77,46.127,-0.00061875,1,0.34,-0.16,0,0
-11261,-53.819,43.253,-0.00051691,1,0.35,-0.15,0,0
-11408,-53.867,40.378,-0.00041515,1,0.36,-0.14,0,0
-11533,-53.874,37.456,-0.00031577,1,0.37,-0.13,0,0
-11659,-53.881,34.532,-0.0002165,1,0.38,-0.12,0,0
-11762,-53.848,31.525,-0.00012141,1,0.39,-0.11,0,0
-11864,-53.815,28.515,-2.6446e-05,1,0.4,-0.1,0,0
-11942,-53.742,25.382,6.223e-05,1,0.41,-0.09,0,0
-12019,-53.669,22.246,0.00015077,1,0.42,-0.08,0,0
-12069,-53.556,18.939,0.0002306,1,0.43,-0.07,0,0
-12118,-53.442,15.629,0.0003103,1,0.44,-0.06,0,0
-12137,-53.284,12.093,0.00037855,1,0.45,-0.05,0,0
-12155,-53.125,8.555,0.00044669,1,0.46,-0.04,0,0
-12142,-52.928,4.7308,0.00050143,1,0.47,-0.03,0,0
-12129,-52.731,0.90541,0.00055611,1,0.48,-0.02,0,0
-12083,-52.467,-3.2491,0.00059656,1,0.49,-0.01,0,0
-12037,-52.202,-7.4036,0.000637,1,0.5,0,0,0
-11950,-51.844,-11.935,0.00066267,1,0.51,0.01,0,0
-11863,-51.485,-16.466,0.00068833,1,0.52,0.02,0,0
-11726,-51.032,-21.441,0.00069861,1,0.53,0.03,0,0
-11590,-50.579,-26.419,0.00070882,1,0.54,0.04,0,0
-11399,-50.013,-31.902,0.00070406,1,0.55,0.05,0,0
-11207,-49.447,-37.388,0.00069918,1,0.56,0.06,0,0
-10954,-48.753,-43.42,0.00068155,1,0.57,0.07,0,0
-10699,-48.057,-49.458,0.00066377,1,0.58,0.08,0,0
-10374,-47.218,-56.053,0.00063701,1,0.59,0.09,0,0
-10048,-46.377,-62.656,0.0006101,1,0.6,0.1,0,0
-9644.4,-45.382,-69.787,0.00057927,1,0.61,0.11,0,0
-9238.7,-44.384,-76.928,0.00054836,1,0.62,0.12,0,0
-8747.7,-43.233,-84.524,0.00051872,1,0.63,0.13,0,0
-8254.5,-42.078,-92.13,0.00048911,1,0.64,0.14,0,0
-7670.5,-40.778,-100.07,0.00046612,1,0.65,0.15,0,0
-7083.8,-39.475,-108.02,0.00044334,1,0.66,0.16,0,0
-6404.2,-38.05,-116.12,0.00043204,1,0.67,0.17,0,0
-5721.4,-36.621,-124.23,0.00042114,1,0.68,0.18,0,0
-4948.2,-35.115,-132.28,0.00042454,1,0.69,0.19,0,0
-4171.5,-33.605,-140.33,0.00042851,1,0.7,0.2,0,0
-3311.4,-32.071,-148.09,0.00044742,1,0.71,0.21,0,0
-2447.6,-30.535,-155.84,0.00046701,1,0.72,0.22,0,0
-1512.3,-29.027,-163.08,0.00050148,1,0.73,0.23,0,0
-573.37,-27.519,-170.3,0.00053671,1,0.74,0.24,0,0
419.1,-26.092,-176.77,0.00058467,1,0.75,0.25,0,0
1414.6,-24.669,-183.19,0.00063336,1,0.76,0.26,0,0
2441.6,-23.377,-188.66,0.00068926,1,0.77,0.27,0,0
3470.6,-22.093,-194.06,0.00074561,1,0.78,0.28,0,0
4506.3,-20.977,-198.34,0.00080193,1,0.79,0.29,0,0
5542.6,-19.872,-202.54,0.00085825,1,0.8,0.3,0,0
6558.8,-18.952,-205.46,0.00090504,1,0.81,0.31,0,0
7573.5,-18.047,-208.29,0.00095109,1,0.82,0.32,0,0
8540.5,-17.325,-209.69,0.00097578,1,0.83,0.33,0,0
9503.6,-16.617,-210.98,0.00099871,1,0.84,0.34,0,0
10392,-16.057,-210.71,0.00098703,1,0.85,0.35,0,0
11274,-15.51,-210.29,0.00097229,1,0.86,0.36,0,0
12057,-15.03,-208.08,0.00091159,1,0.87,0.37,0,0
12830,-14.557,-205.69,0.00084657,1,0.88,0.38,0,0
13482,-14.016,-201.1,0.00073241,1,0.89,0.39,0,0
14122,-13.469,-196.28,0.00061337,1,0.9,0.4,0,0
14624,-12.667,-188.51,0.00046109,1,0.91,0.41,0,0
15112,-11.839,-180.43,0.00030535,1,0.92,0.42,0,0
15524,-10.168,-164.24,0.0065792,1,0.93,0.43,0,0
15927,-8.4059,-147.16,0.013547,1,0.94,0.44,0,0
15997,-7.7301,-139.13,0.007761,1,0.95,0.45,0,0
16029,-7.175,-132.11,0.00055835,1,0.96,0.46,0,0
16154,-4.0288,-95.969,-0.00025376,1,0.97,0.47,0,0
16149,-1.5099,-57.443,-0.00020397,1,0.98,0.48,0,0
16125,-0.83716,-43.302,-0.00016693,1,0.99,0.49,0,0
16010,-0.016637,-7.2773,-3.2635e-05,1,1,0.5,0,0
