"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.63002,0.30064,9.6232e-08,-2.0232e-08,1,0,0,0,0
0.62945,0.30417,1.5774e-07,-4.3457e-08,1,0.0025,0.0025,0,0
0.62798,0.31059,2.024e-07,-8.7805e-08,1,0.005,0.005,0,0
0.62565,0.3185,1.8831e-07,-1.3866e-07,1,0.0075,0.0075,0,0
0.62313,0.3263,1.6058e-07,-1.5571e-07,1,0.01,0.01,0,0
0.62074,0.33345,1.634e-07,-1.4531e-07,1,0.0125,0.0125,0,0
0.6185,0.34005,1.5369e-07,-1.3164e-07,1,0.015,0.015,0,0
0.61637,0.34619,1.354e-07,-1.2342e-07,1,0.0175,0.0175,0,0
0.61435,0.35192,1.1626e-07,-1.1015e-07,1,0.02,0.02,0,0
0.61243,0.35728,1.001e-07,-9.3377e-08,1,0.0225,0.0225,0,0
0.61062,0.36231,8.7813e-08,-7.4749e-08,1,0.025,0.025,0,0
0.60888,0.36705,7.8993e-08,-5.5572e-08,1,0.0275,0.0275,0,0
0.60722,0.37155,7.2859e-08,-3.6947e-08,1,0.03,0.03,0,0
0.60562,0.37583,6.8699e-08,-1.9606e-08,1,0.0325,0.0325,0,0
0.60409,0.37991,6.586e-08,-4.0417e-09,1,0.035,0.035,0,0
0.60261,0.38381,6.3811e-08,9.5476e-09,1,0.0375,0.0375,0,0
0.60118,0.38755,6.2184e-08,2.1133e-08,1,0.04,0.04,0,0
0.59979,0.39115,6.0763e-08,3.0796e-08,1,0.0425,0.0425,0,0
0.59844,0.39462,5.9397e-08,3.863e-08,1,0.045,0.045,0,0
0.59713,0.39796,5.8129e-08,4.4773e-08,1,0.0475,0.0475,0,0
0.59586,0.40119,5.6978e-08,4.944e-08,1,0.05,0.05,0,0
0.59461,0.40433,5.6035e-08,5.2822e-08,1,0.0525,0.0525,0,0
0.5934,0.40737,5.5274e-08,5.5173e-08,1,0.055,0.055,0,0
0.59221,0.41032,5.4651e-08,5.6674e-08,1,0.0575,0.0575,0,0
0.59104,0.4132,5.4063e-08,5.7501e-08,1,0.06,0.06,0,0
0.5899,0.416,5.3447e-08,5.7828e-08,1,0.0625,0.0625,0,0
0.58877,0.41873,5.2725e-08,5.7726e-08,1,0.065,0.065,0,0
0.58767,0.42139,5.1886e-08,5.7316e-08,1,0.0675,0.0675,0,0
0.58659,0.42399,5.0959e-08,5.6643e-08,1,0.07,0.07,0,0
