"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.61013,0.11122,0.00033814,1.8767e-05,1,0.00025,0.025,-0.01225,0
0.61014,0.13214,0.00066449,3.0644e-05,1,0.0005,0.025,-0.012,0
0.61015,0.15306,0.00099083,4.2519e-05,1,0.00075,0.025,-0.01175,0
0.61015,0.17413,0.0013288,5.4256e-05,1,0.001,0.025,-0.0115,0
0.61016,0.19899,0.0019558,6.2631e-05,1,0.00125,0.025,-0.01125,0
0.61017,0.22385,0.0025827,7.1007e-05,1,0.0015,0.025,-0.011,0
0.61018,0.24871,0.0032097,7.9383e-05,1,0.00175,0.025,-0.01075,0
0.61019,0.27357,0.0038365,8.7759e-05,1,0.002,0.025,-0.0105,0
0.6102,0.29764,0.0044514,9.5281e-05,1,0.00225,0.025,-0.01025,0
0.61021,0.30858,0.0048672,8.8521e-05,1,0.0025,0.025,-0.01,0
0.61022,0.31951,0.005283,8.1765e-05,1,0.00275,0.025,-0.00975,0
0.61023,0.33044,0.0056988,7.5013e-05,1,0.003,0.025,-0.0095,0
0.61025,0.34138,0.0061145,6.8265e-05,1,0.00325,0.025,-0.00925,0
0.61026,0.35186,0.0065077,6.1591e-05,1,0.0035,0.025,-0.009,0
0.61027,0.35509,0.0065376,5.6041e-05,1,0.00375,0.025,-0.00875,0
0.61029,0.35832,0.0065675,5.0493e-05,1,0.004,0.025,-0.0085,0
0.61031,0.36156,0.0065974,4.4945e-05,1,0.00425,0.025,-0.00825,0
0.61032,0.36479,0.0066273,3.94e-05,1,0.0045,0.025,-0.008,0
0.61034,0.36799,0.0066558,3.39e-05,1,0.00475,0.025,-0.00775,0
0.61035,0.36838,0.006529,3.2956e-05,1,0.005,0.025,-0.0075,0
0.61037,0.36877,0.0064024,3.2013e-05,1,0.00525,0.025,-0.00725,0
0.61038,0.36916,0.0062757,3.1069e-05,1,0.0055,0.025,-0.007,0
0.6104,0.36954,0.006149,3.0125e-05,1,0.00575,0.025,-0.00675,0
0.61041,0.36993,0.0060224,2.9181e-05,1,0.006,0.025,-0.0065,0
0.61043,0.36961,0.0058149,2.9599e-05,1,0.00625,0.025,-0.00625,0
0.61044,0.36922,0.0055996,3.0146e-05,1,0.0065,0.025,-0.006,0
0.61046,0.36884,0.0053844,3.0694e-05,1,0.00675,0.025,-0.00575,0
0.61047,0.36845,0.0051691,3.1242e-05,1,0.007,0.025,-0.0055,0
